description,amount,direction,source_category,budget_category,merchant,merchant_seen_in_training
[debit] POS DEBIT LYFT RIDE 903GFJ,50.3,debit,Rideshare,Transportation,LYFT RIDE,True
[debit] DOORDASH*G9YUTGDLW,71.09,debit,Dining,Food & Drink,DOORDASH,True
[debit] CARIBOU COFFEE*CFZP1VFW,20.41,debit,Coffee,Food & Drink,CARIBOU COFFEE,True
[debit] SAMS CLUB #5334 SAN FRANCISCO CA,158.56,debit,Groceries,Food & Drink,SAMS CLUB,True
[debit] SQ *RAISING CANES WEST LAFAY IN,89.12,debit,Dining,Food & Drink,RAISING CANES,True
[debit] PEETS COFFEE #6501 CHICAGO IL,7.49,debit,Coffee,Food & Drink,PEETS COFFEE,True
[debit] GREYSTAR PROPERTY INDIANAPOLIS IN,1286.49,debit,Rent,Bills & Housing,GREYSTAR PROPERTY,True
[debit] DROPBOX DES:DIRECT DEP ID:7S8ZD9P4TQ INDN:CARDHOLDER,37.95,debit,Subscriptions,Entertainment,DROPBOX,True
[debit] WALGREENS #8607 ATLANTA GA,243.59,debit,Healthcare,Health & Wellness,WALGREENS,True
[debit] WHOLE FOODS MKT #4153 COLUMBUS OH,196.18,debit,Groceries,Food & Drink,WHOLE FOODS MKT,True
[debit] POS DEBIT RAISING CANES J9QG1A,39.12,debit,Dining,Food & Drink,RAISING CANES,True
[debit] NIPSCO*T9L74ZV4ML,49.26,debit,Utilities,Bills & Housing,NIPSCO,True
[debit] ATM SURCHARGE 1CZA,15.33,debit,Fees,Transfers & Fees,ATM SURCHARGE,True
[credit] PURCHASE HULU AUSTIN TXUS,11.39,credit,Subscriptions,Entertainment,HULU,True
[debit] VENMO CASHOUT #5776 ATLANTA GA,793.38,debit,Transfer,Transfers & Fees,VENMO CASHOUT,True
[debit] ICLOUD STORAGE DES:DIRECT DEP ID:YD5Z1RSUGC INDN:CARDHOLDER,33.13,debit,Subscriptions,Entertainment,ICLOUD STORAGE,True
[debit] SCOOTERS COFFEE #5718 WEST LAFAYETTE IN,15.78,debit,Coffee,Food & Drink,SCOOTERS COFFEE,True
[debit] AT&T MOBILITY DENVER CO,297.7,debit,Utilities,Bills & Housing,AT&T MOBILITY,True
[debit] SPEEDWAY #8879 NASHVILLE TN,42.75,debit,Gas,Transportation,SPEEDWAY,True
[debit] POS DEBIT SPEEDWAY AGMY1L,24.09,debit,Gas,Transportation,SPEEDWAY,True
[credit] POS DEBIT IRS TREAS 310 TAX REF 3KJGTU,3365.42,credit,Income,Income,IRS TREAS 310 TAX REF,True
[debit] APPLE.COM/BILL DES:DEPOSIT ID:5J06XUY42D INDN:CARDHOLDER,51.19,debit,Subscriptions,Entertainment,APPLE.COM/BILL,True
[debit] DOORDASH #5721 SEATTLE WA,85.95,debit,Dining,Food & Drink,DOORDASH,True
[debit] F45 TRAINING DES:PAYMENT ID:3X2T5CM3BF INDN:CARDHOLDER,75.95,debit,Fitness,Health & Wellness,F45 TRAINING,True
[credit] PURCHASE APPLE CASH TRANSFER AUSTIN TXUS,3112.8,credit,Income,Income,APPLE CASH TRANSFER,True
[debit] BARNES NOBLE COLLEG DES:DIRECT DEP ID:S3SY21BAVJ INDN:CARDHOLDER,298.9,debit,Education,Bills & Housing,BARNES NOBLE COLLEG,True
[debit] PURCHASE AMTRAK NASHVILLE TNUS,636.76,debit,Travel,Transportation,AMTRAK,True
[debit] REDSTONE PROPERTIES DES:PAYMENT ID:LAM51BTWCM INDN:CARDHOLDER,1088.62,debit,Rent,Bills & Housing,REDSTONE PROPERTIES,True
[debit] COSTCO WHSE*45VJVLSQ6Z,140.46,debit,Groceries,Food & Drink,COSTCO WHSE,True
[debit] WALGREENS #6421 PHOENIX AZ,343.2,debit,Healthcare,Health & Wellness,WALGREENS,True
[credit] FIDELITY DIVIDEND DES:BILLPAY ID:ALPBD6V0JL INDN:CARDHOLDER,3586.92,credit,Income,Income,FIDELITY DIVIDEND,True
[debit] ORANGETHEORY SEATTLE WA,145.52,debit,Fitness,Health & Wellness,ORANGETHEORY,True
[debit] SQ *CIRCLE K SAN FRANCI CA,30.05,debit,Gas,Transportation,CIRCLE K,True
[debit] POS DEBIT THE LODGE APTS CA868E,848.07,debit,Rent,Bills & Housing,THE LODGE APTS,True
[debit] POS DEBIT WINGSTOP PFFB3A,80.69,debit,Dining,Food & Drink,WINGSTOP,True
[debit] PURCHASE VENMO CASHOUT WEST LAFAYETTE INUS,896.86,debit,Transfer,Transfers & Fees,VENMO CASHOUT,True
[debit] COSTCO WHSE #7191 INDIANAPOLIS IN,20.4,debit,Gas,Transportation,COSTCO WHSE,True
[debit] GOOGLE FIBER DES:DIRECT DEP ID:MJK4X0G7Y9 INDN:CARDHOLDER,92.28,debit,Utilities,Bills & Housing,GOOGLE FIBER,True
[debit] SAMS CLUB WEST LAFAYETTE IN,401.22,debit,Shopping,Shopping,SAMS CLUB,True
[debit] SQ *BLUE BOTTLE #1700 BROOKLYN NY,11.29,debit,Coffee,Food & Drink,SQ *BLUE BOTTLE,True
[debit] WALGREENS #6287 INDIANAPOLIS IN,363.71,debit,Healthcare,Health & Wellness,WALGREENS,True
[debit] BARNES NOBLE COLLEG DES:DIRECT DEP ID:FXMTBQRYJ7 INDN:CARDHOLDER,1674.16,debit,Education,Bills & Housing,BARNES NOBLE COLLEG,True
[credit] ZELLE PAYMENT DES:DEPOSIT ID:DKPJX4P239 INDN:CARDHOLDER,3503.81,credit,Income,Income,ZELLE PAYMENT,True
[debit] GREYSTAR PROPERTY*57WUZB,1569.8,debit,Rent,Bills & Housing,GREYSTAR PROPERTY,True
[debit] LA FITNESS DES:PAYMENT ID:TH2P524A83 INDN:CARDHOLDER,123.6,debit,Fitness,Health & Wellness,LA FITNESS,True
[debit] MARRIOTT HOTELS*3PWA2UM5L,896.48,debit,Travel,Transportation,MARRIOTT HOTELS,True
[debit] PAYPAL *VENMOCASHOUT,466.28,debit,Transfer,Transfers & Fees,VENMO CASHOUT,True
[debit] THE LODGE APTS DES:DEPOSIT ID:AF23AGHK8H INDN:CARDHOLDER,2068.01,debit,Rent,Bills & Housing,THE LODGE APTS,True
[debit] CORTLAND MGMT SAN FRANCISCO CA,1681.57,debit,Rent,Bills & Housing,CORTLAND MGMT,True
[debit] PURCHASE PURDUE UNIVERSITY DENVER COUS,1125.9,debit,Education,Bills & Housing,PURDUE UNIVERSITY,True
[debit] AT&T MOBILITY DES:BILLPAY ID:F078CS4DYV INDN:CARDHOLDER,129.64,debit,Utilities,Bills & Housing,AT&T MOBILITY,True
[debit] POS DEBIT CIRCLE K GJGLEG,86.13,debit,Gas,Transportation,CIRCLE K,True
[debit] REPUBLIC SERVICES DES:DEPOSIT ID:ZPG3V4DZS5 INDN:CARDHOLDER,231.37,debit,Utilities,Bills & Housing,REPUBLIC SERVICES,True
[credit] APPLE CASH TRANSFER*XBGTUYMH33,2130.16,credit,Income,Income,APPLE CASH TRANSFER,True
[debit] MTA VENDING MACH*FYRBLL3LV,43.54,debit,Rideshare,Transportation,MTA VENDING MACH,True
[debit] STRAVA SUBSCRIPTION DES:DIRECT DEP ID:ZMGUE9CS5G INDN:CARDHOLDER,133.96,debit,Fitness,Health & Wellness,STRAVA SUBSCRIPTION,True
[debit] DOORDASH CHICAGO IL,13.82,debit,Dining,Food & Drink,DOORDASH,True
[debit] REDSTONE PROPERTIES DES:DIRECT DEP ID:8EZXEW1MVQ INDN:CARDHOLDER,1532.02,debit,Rent,Bills & Housing,REDSTONE PROPERTIES,True
[debit] SQ *WALGREENS SEATTLE WA,53.72,debit,Healthcare,Health & Wellness,WALGREENS,True
[credit] VENMO CASHOUT*DUQSESMH,2675.66,credit,Income,Income,VENMO CASHOUT,True
[debit] AT&T MOBILITY*64K8BJ7,270.72,debit,Utilities,Bills & Housing,AT&T MOBILITY,True
[credit] PURCHASE ETSY PAYOUT SAN FRANCISCO CAUS,1286.58,credit,Income,Income,ETSY PAYOUT,True
[debit] PAYPAL INST XFER DENVER CO,852.52,debit,Transfer,Transfers & Fees,PAYPAL INST XFER,True
[debit] PURDUE UNIVERSITY CHICAGO IL,1153.84,debit,Education,Bills & Housing,PURDUE UNIVERSITY,True
[debit] THE LODGE APTS DES:DEPOSIT ID:1UCV85E99J INDN:CARDHOLDER,1534.94,debit,Rent,Bills & Housing,THE LODGE APTS,True
[debit] SAMS CLUB #7656 INDIANAPOLIS IN,21.2,debit,Groceries,Food & Drink,SAMS CLUB,True
[debit] MARATHON PETRO*99NLW36J,51.5,debit,Gas,Transportation,MARATHON PETRO,True
[debit] PEETS COFFEE PHOENIX AZ,21.22,debit,Coffee,Food & Drink,PEETS COFFEE,True
[debit] RETURNED ITEM FEE 7WQE,26.9,debit,Fees,Transfers & Fees,RETURNED ITEM FEE,True
[debit] WAWA*0XYLM740,40.85,debit,Gas,Transportation,WAWA,True
[debit] CITY WATER WORKS DES:ACH PMT ID:J962U388BB INDN:CARDHOLDER,43.42,debit,Utilities,Bills & Housing,CITY WATER WORKS,True
[debit] WILLOW CREEK APTS DES:PAYMENT ID:CACE9K2A1M INDN:CARDHOLDER,945.51,debit,Rent,Bills & Housing,WILLOW CREEK APTS,True
[debit] STEAMGAMES.COM #6977 INDIANAPOLIS IN,116.4,debit,Entertainment,Entertainment,STEAMGAMES.COM,True
[credit] ATM SURCHARGE,22.59,credit,Fees,Transfers & Fees,ATM SURCHARGE,True
[debit] SQ *PARKMOBILE NASHVILLE TN,28.32,debit,Rideshare,Transportation,PARKMOBILE,True
[debit] POS DEBIT APPLE.COM/BILL 3ZEF9J,22.52,debit,Subscriptions,Entertainment,APPLE.COM/BILL,True
[debit] PURCHASE WIRE TRANSFER OUT COLUMBUS OHUS,668.38,debit,Transfer,Transfers & Fees,WIRE TRANSFER OUT,True
[debit] AMTRAK #2462 COLUMBUS OH,442.99,debit,Travel,Transportation,AMTRAK,True
[debit] POS DEBIT ICLOUD STORAGE WRS7UN,47.0,debit,Subscriptions,Entertainment,ICLOUD STORAGE,True
[debit] SPEEDWAY #8576 COLUMBUS OH,39.8,debit,Gas,Transportation,SPEEDWAY,True
[credit] STRIPE TRANSFER*Z5DKN3L,1008.29,credit,Income,Income,STRIPE TRANSFER,True
[debit] CITY PARKING AUTH CHICAGO IL,27.04,debit,Rideshare,Transportation,CITY PARKING AUTH,True
[debit] POS DEBIT GITHUB INC EH132H,4.13,debit,Subscriptions,Entertainment,GITHUB INC,True
[credit] UPWORK ESCROW DES:DEPOSIT ID:XSGR996CPC INDN:CARDHOLDER,943.69,credit,Income,Income,UPWORK ESCROW,True
[debit] SPECTRUM DES:PAYMENT ID:5DWXXBHNPN INDN:CARDHOLDER,295.79,debit,Utilities,Bills & Housing,SPECTRUM,True
[debit] ALASKA AIR*YQV48L45,228.85,debit,Travel,Transportation,ALASKA AIR,True
[debit] POS DEBIT MTA VENDING MACH 15GM0R,56.13,debit,Rideshare,Transportation,MTA VENDING MACH,True
[debit] PURCHASE CITY WATER WORKS ATLANTA GAUS,291.0,debit,Utilities,Bills & Housing,CITY WATER WORKS,True
[debit] EXPEDIA INDIANAPOLIS IN,740.78,debit,Travel,Transportation,EXPEDIA,True
[debit] SQ *TARGET INDIANAPOL IN,61.46,debit,Groceries,Food & Drink,TARGET,True
[credit] REPUBLIC SERVICES DES:ACH PMT ID:0Y25G34EK5 INDN:CARDHOLDER,232.94,credit,Utilities,Bills & Housing,REPUBLIC SERVICES,True
[debit] POS DEBIT SPOTHERO Y1AA40,27.06,debit,Rideshare,Transportation,SPOTHERO,True
[debit] UNIV BOOKSTORE DES:DIRECT DEP ID:S7C9AUM0CM INDN:CARDHOLDER,1681.39,debit,Education,Bills & Housing,UNIV BOOKSTORE,True
[debit] CASEYS GEN STORE*B063PXRJK,41.7,debit,Gas,Transportation,CASEYS GEN STORE,True
[debit] ZOCDOC PHOENIX AZ,354.09,debit,Healthcare,Health & Wellness,ZOCDOC,True
[credit] POS DEBIT ETSY PAYOUT FHSL7U,574.97,credit,Income,Income,ETSY PAYOUT,True
[credit] STRIPE TRANSFER*6VHRSF66,1055.81,credit,Income,Income,STRIPE TRANSFER,True
[credit] CASH APP TRANSFER*D25R4G4ZUZ,3029.57,credit,Income,Income,CASH APP TRANSFER,True
[credit] DOORDASH DRIVER PAY*2273RUTZMD,3043.4,credit,Income,Income,DOORDASH DRIVER PAY,True
[debit] WILLOW CREEK APTS DES:BILLPAY ID:VTHXAMKLXE INDN:CARDHOLDER,1732.75,debit,Rent,Bills & Housing,WILLOW CREEK APTS,True
[credit] UPWORK ESCROW CHICAGO IL,1605.66,credit,Income,Income,UPWORK ESCROW,True
[debit] AMTRAK*RJT07JM,693.02,debit,Travel,Transportation,AMTRAK,True
[debit] PROGRESS RESIDENTIAL COLUMBUS OH,1067.99,debit,Rent,Bills & Housing,PROGRESS RESIDENTIAL,True
[debit] POS DEBIT REDSTONE PROPERTIES C2SCDW,1713.5,debit,Rent,Bills & Housing,REDSTONE PROPERTIES,True
[debit] PURCHASE NYTIMES DIGITAL NASHVILLE TNUS,45.85,debit,Subscriptions,Entertainment,NYTIMES DIGITAL,True
[debit] POS DEBIT SPEEDWAY ZBWBEU,53.73,debit,Gas,Transportation,SPEEDWAY,True
[debit] SPEEDWAY COLUMBUS OH,27.04,debit,Gas,Transportation,SPEEDWAY,True
[credit] PAYPAL *LIMERIDE,32.41,credit,Rideshare,Transportation,LIME RIDE,True
[credit] PURCHASE CASH APP TRANSFER SAN FRANCISCO CAUS,1686.01,credit,Income,Income,CASH APP TRANSFER,True
[credit] STRIPE TRANSFER DES:DIRECT DEP ID:NTVGMX75HG INDN:CARDHOLDER,3947.42,credit,Income,Income,STRIPE TRANSFER,True
[debit] OVERDRAFT FEE 3CPT,30.72,debit,Fees,Transfers & Fees,OVERDRAFT FEE,True
[debit] POS DEBIT PARKMOBILE DP61S4,25.83,debit,Rideshare,Transportation,PARKMOBILE,True
[debit] CAMPUS CROSSING*GJ3BR66B,1293.92,debit,Rent,Bills & Housing,CAMPUS CROSSING,True
[debit] DUKE ENERGY*WQ8UNA6,34.64,debit,Utilities,Bills & Housing,DUKE ENERGY,True
[debit] POS DEBIT TARGET FJWHRV,150.61,debit,Groceries,Food & Drink,TARGET,True
[debit] CITY PARKING AUTH*5ZT8AKQNZQ,46.5,debit,Rideshare,Transportation,CITY PARKING AUTH,True
[debit] PLANET FITNESS DES:ACH PMT ID:T0A71KNGUZ INDN:CARDHOLDER,133.12,debit,Fitness,Health & Wellness,PLANET FITNESS,True
[debit] PEETS COFFEE*1NSJMH,7.98,debit,Coffee,Food & Drink,PEETS COFFEE,True
[debit] PURCHASE GOOGLE FIBER WEST LAFAYETTE INUS,83.94,debit,Utilities,Bills & Housing,GOOGLE FIBER,True
[debit] QUEST DIAGNOSTICS CHICAGO IL,438.11,debit,Healthcare,Health & Wellness,QUEST DIAGNOSTICS,True
[credit] POS DEBIT FIDELITY DIVIDEND H4U3P6,3755.51,credit,Income,Income,FIDELITY DIVIDEND,True
[debit] PURCHASE ALASKA AIR PHOENIX AZUS,828.07,debit,Travel,Transportation,ALASKA AIR,True
[debit] CAMPUS CROSSING DES:DIRECT DEP ID:PLRYVQN7SW INDN:CARDHOLDER,1754.45,debit,Rent,Bills & Housing,CAMPUS CROSSING,True
[debit] REPUBLIC SERVICES DES:DIRECT DEP ID:DSB6TNP95L INDN:CARDHOLDER,116.38,debit,Utilities,Bills & Housing,REPUBLIC SERVICES,True
[debit] REDSTONE PROPERTIES DES:ACH PMT ID:B76QGXR55Z INDN:CARDHOLDER,1802.74,debit,Rent,Bills & Housing,REDSTONE PROPERTIES,True
[debit] STRAVA SUBSCRIPTION DES:DIRECT DEP ID:M107PG34YB INDN:CARDHOLDER,125.24,debit,Fitness,Health & Wellness,STRAVA SUBSCRIPTION,True
[debit] BOOKING.COM #3656 SEATTLE WA,158.09,debit,Travel,Transportation,BOOKING.COM,True
[debit] SQ *LUMINARY BAKERY #1164 BROOKLYN NY,13.81,debit,Coffee,Food & Drink,SQ *LUMINARY BAKERY,True
[credit] ETSY PAYOUT DES:PAYMENT ID:003JB238QF INDN:CARDHOLDER,3444.44,credit,Income,Income,ETSY PAYOUT,True
[debit] TOPGOLF*G98KGD,147.94,debit,Entertainment,Entertainment,TOPGOLF,True
[debit] PANDA EXPRESS*H2S9A4J4,85.89,debit,Dining,Food & Drink,PANDA EXPRESS,True
[debit] ZOCDOC #8131 ATLANTA GA,604.85,debit,Healthcare,Health & Wellness,ZOCDOC,True
[debit] POS DEBIT AT&T MOBILITY VUQAFX,54.81,debit,Utilities,Bills & Housing,AT&T MOBILITY,True
[debit] UNITED AIRLINES*QPNZ1NMH,84.21,debit,Travel,Transportation,UNITED AIRLINES,True
[debit] WALGREENS #8968 WEST LAFAYETTE IN,220.83,debit,Healthcare,Health & Wellness,WALGREENS,True
[debit] STEAMGAMES.COM CHICAGO IL,77.06,debit,Entertainment,Entertainment,STEAMGAMES.COM,True
[debit] WILLOW CREEK APTS DES:DIRECT DEP ID:MD3HFKH5AT INDN:CARDHOLDER,1695.92,debit,Rent,Bills & Housing,WILLOW CREEK APTS,True
[debit] APPLE.COM/BILL DES:PAYMENT ID:5CBP7FAHAR INDN:CARDHOLDER,31.29,debit,Subscriptions,Entertainment,APPLE.COM/BILL,True
[debit] CITY PARKING AUTH*PNW1PG,54.33,debit,Rideshare,Transportation,CITY PARKING AUTH,True
[debit] POS DEBIT TOPGOLF HM2UWU,111.11,debit,Entertainment,Entertainment,TOPGOLF,True
[debit] SPEEDWAY #7256 ATLANTA GA,62.54,debit,Gas,Transportation,SPEEDWAY,True
[credit] PAYPAL *SCOOTERSCOFFEE,9.23,credit,Coffee,Food & Drink,SCOOTERS COFFEE,True
[debit] SQ *TARGET SEATTLE WA,47.01,debit,Groceries,Food & Drink,TARGET,True
[debit] GREYSTAR PROPERTY*FQNGKX2,1954.74,debit,Rent,Bills & Housing,GREYSTAR PROPERTY,True
[debit] POS DEBIT DAVE AND BUSTERS PVN1ET,67.56,debit,Entertainment,Entertainment,DAVE AND BUSTERS,True
[credit] PAYPAL INST XFER SAN FRANCISCO CA,586.37,credit,Income,Income,PAYPAL INST XFER,True
[debit] ANYTIME FITNESS DES:DIRECT DEP ID:5HKJV1QV9S INDN:CARDHOLDER,43.77,debit,Fitness,Health & Wellness,ANYTIME FITNESS,True
[debit] PURCHASE REGAL CINEMAS BROOKLYN NYUS,135.65,debit,Entertainment,Entertainment,REGAL CINEMAS,True
[debit] COSTCO WHSE #1662 INDIANAPOLIS IN,112.09,debit,Groceries,Food & Drink,COSTCO WHSE,True
[debit] SPEEDWAY*P98CUS,65.84,debit,Gas,Transportation,SPEEDWAY,True
[debit] APPLE.COM/BILL DES:BILLPAY ID:174BZKE8X8 INDN:CARDHOLDER,32.24,debit,Subscriptions,Entertainment,APPLE.COM/BILL,True
[credit] PURCHASE SPECTRUM PHOENIX AZUS,144.97,credit,Utilities,Bills & Housing,SPECTRUM,True
