description,amount,direction,source_category,budget_category,merchant,merchant_seen_in_training
[debit] POS DEBIT COMCAST XFINITY FQ4YS9,64.31,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] SQ *LOWES PHOENIX AZ,89.33,debit,Shopping,Shopping,LOWES,False
[debit] PURCHASE PLAYSTATION NETWORK ATLANTA GAUS,109.45,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[credit] PAYROLL DEP DES:ACH PMT ID:UNXA6JK1QZ INDN:CARDHOLDER,1715.19,credit,Income,Income,PAYROLL DEP,False
[debit] STARBUCKS*0GYT5Q1T1,16.0,debit,Coffee,Food & Drink,STARBUCKS,False
[debit] BIGGBY COFFEE SAN FRANCISCO CA,22.21,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] FIVE GUYS*C61HRJ,82.0,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] POS DEBIT DUNKIN JB3X7A,23.33,debit,Coffee,Food & Drink,DUNKIN,False
[debit] CRUNCH FITNESS*YSZM9MC,109.79,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] PURCHASE UBER TRIP SEATTLE WAUS,25.57,debit,Rideshare,Transportation,UBER TRIP,False
[debit] CHEGG ORDER*FE1TUM3,181.53,debit,Education,Bills & Housing,CHEGG ORDER,False
[debit] CLASSPASS DES:BILLPAY ID:NL2KSKJ6EJ INDN:CARDHOLDER,57.36,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] FOREIGN TRANS FEE,36.84,debit,Fees,Transfers & Fees,FOREIGN TRANS FEE,False
[debit] ROBINHOOD FUNDING #6335 NASHVILLE TN,434.32,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[debit] COMCAST XFINITY DES:BILLPAY ID:6BZ0J5UJWQ INDN:CARDHOLDER,53.72,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] CTA VENTRA*22Q2N9,8.92,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] SHELL OIL #687 SAN FRANCISCO CA,85.9,debit,Gas,Transportation,SHELL OIL,False
[debit] POS DEBIT IKEA KPP5KU,355.52,debit,Shopping,Shopping,IKEA,False
[debit] PURCHASE T-MOBILE NASHVILLE TNUS,222.14,debit,Utilities,Bills & Housing,T-MOBILE,False
[debit] LABCORP*QNJFYN1FUK,310.57,debit,Healthcare,Health & Wellness,LABCORP,False
[debit] PURCHASE SOUTHWEST AIRLINE CHICAGO ILUS,801.57,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] LOWES #2988 COLUMBUS OH,479.88,debit,Shopping,Shopping,LOWES,False
[debit] AMERICAN ELECTRIC*J2WBXET,50.58,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] POS DEBIT AMAZON WEB SERVICES T07ZW1,43.19,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] T-MOBILE*DJFPEQ3W,251.55,debit,Utilities,Bills & Housing,T-MOBILE,False
[debit] LINCOLN PROP CO*RQVHX8YD,1819.16,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] T-MOBILE DES:ACH PMT ID:9QTK2WGJH9 INDN:CARDHOLDER,26.92,debit,Utilities,Bills & Housing,T-MOBILE,False
[debit] SQ *CTA VENTRA WEST LAFAY IN,60.68,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] UBER EATS #6380 NASHVILLE TN,51.03,debit,Dining,Food & Drink,UBER EATS,False
[debit] T-MOBILE DES:BILLPAY ID:9MS18C59T1 INDN:CARDHOLDER,73.52,debit,Utilities,Bills & Housing,T-MOBILE,False
[debit] T-MOBILE DES:PAYMENT ID:682865MXNY INDN:CARDHOLDER,110.47,debit,Utilities,Bills & Housing,T-MOBILE,False
[credit] POS DEBIT PAYROLL DEP XFQWSX,1807.09,credit,Income,Income,PAYROLL DEP,False
[debit] KROGER*CKAGHJBXH,70.12,debit,Groceries,Food & Drink,KROGER,False
[credit] STATE OF IN PAYROLL*4AQV4EXP2,1679.77,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] PAYPAL *SHELLOIL,80.25,debit,Gas,Transportation,SHELL OIL,False
[debit] AVALON COMMUNITIES DES:DEPOSIT ID:BVVV2HQ9NL INDN:CARDHOLDER,832.63,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] NETFLIX.COM DES:ACH PMT ID:BJS8SN80VM INDN:CARDHOLDER,52.92,debit,Subscriptions,Entertainment,NETFLIX.COM,False
[debit] SOFI MONEY XFER*7LNL5MDU,300.82,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] AVALON COMMUNITIES*7FJD6F45W,2141.33,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] ONE MEDICAL #8067 BROOKLYN NY,31.47,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] SOFI MONEY XFER PHOENIX AZ,83.6,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] PURCHASE PLAYSTATION NETWORK CHICAGO ILUS,111.92,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] PURCHASE ASPEN DENTAL SAN FRANCISCO CAUS,76.14,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[debit] PURCHASE T-MOBILE INDIANAPOLIS INUS,91.39,debit,Utilities,Bills & Housing,T-MOBILE,False
[credit] STATE OF IN PAYROLL DES:DIRECT DEP ID:AXL55RRTQW INDN:CARDHOLDER,4037.51,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] PURCHASE AMERICAN ELECTRIC AUSTIN TXUS,112.38,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] PURCHASE LOWES SEATTLE WAUS,43.79,debit,Shopping,Shopping,LOWES,False
[debit] PEARSON EDUCATION DENVER CO,1545.84,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] PURCHASE SOFI MONEY XFER COLUMBUS OHUS,475.58,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] SQ *IKEA COLUMBUS OH,242.04,debit,Shopping,Shopping,IKEA,False
[debit] PURCHASE AVALON COMMUNITIES DENVER COUS,1946.31,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] AMAZON WEB SERVICES DES:PAYMENT ID:636WB8QB1E INDN:CARDHOLDER,51.1,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] POS DEBIT FIVE GUYS PT102C,8.9,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] AMERICAN ELECTRIC DES:DEPOSIT ID:NWEX7AJ29X INDN:CARDHOLDER,125.17,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] IKEA*HVAXTHV,439.26,debit,Shopping,Shopping,IKEA,False
[debit] SHAKE SHACK CHICAGO IL,53.18,debit,Dining,Food & Drink,SHAKE SHACK,False
[debit] SOUTHWEST AIRLINE*YZKB0L8DU,868.49,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] ASPEN DENTAL*ZB9S1A8,235.0,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[debit] SQ *ROBINHOOD FUNDING SAN FRANCI CA,758.7,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[debit] AVALON COMMUNITIES*HY13G3TW,938.94,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] UBER TRIP #1079 COLUMBUS OH,18.3,debit,Rideshare,Transportation,UBER TRIP,False
[debit] LOWES #6903 NASHVILLE TN,398.17,debit,Shopping,Shopping,LOWES,False
[debit] LINCOLN PROP CO DES:BILLPAY ID:XH6X43JM5F INDN:CARDHOLDER,2137.98,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] POS DEBIT SOFI MONEY XFER VHM7WN,90.52,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] PURCHASE SOUTHWEST AIRLINE SAN FRANCISCO CAUS,684.79,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] PAYPAL *HEBONLINE,23.64,debit,Groceries,Food & Drink,HEB ONLINE,False
[debit] CLASSPASS DES:ACH PMT ID:Y8VK1G1KT8 INDN:CARDHOLDER,100.18,debit,Fitness,Health & Wellness,CLASSPASS,False
[credit] PAYROLL DEP*1XBYFA,3467.98,credit,Income,Income,PAYROLL DEP,False
[debit] PEARSON EDUCATION DES:ACH PMT ID:K020XD4FNV INDN:CARDHOLDER,701.57,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] PAYPAL *ROBINHOODFUNDING,245.6,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[credit] CTA VENTRA*FMMYYH8,11.27,credit,Rideshare,Transportation,CTA VENTRA,False
[debit] PAYPAL *UBEREATS,82.56,debit,Dining,Food & Drink,UBER EATS,False
[debit] SQ *ASPEN DENTAL NASHVILLE TN,266.85,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[debit] AMAZON WEB SERVICES*S41ZT1,3.45,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] SQ *FIVE GUYS AUSTIN TX,15.05,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] ROBINHOOD FUNDING BROOKLYN NY,875.0,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[debit] SUNOCO*XR2ZGUCS,47.71,debit,Gas,Transportation,SUNOCO,False
[debit] AIRBNB BROOKLYN NY,681.34,debit,Travel,Transportation,AIRBNB,False
[debit] PURCHASE ROBINHOOD FUNDING BROOKLYN NYUS,476.97,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[debit] AVALON COMMUNITIES DES:BILLPAY ID:8W976G0LZQ INDN:CARDHOLDER,2201.26,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] CLASSPASS DES:DIRECT DEP ID:6Y4SDAF8F9 INDN:CARDHOLDER,130.0,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] PAYPAL *WEGMANS,112.64,debit,Groceries,Food & Drink,WEGMANS,False
[debit] POS DEBIT T-MOBILE UYUVD9,152.74,debit,Utilities,Bills & Housing,T-MOBILE,False
[debit] PURCHASE PEARSON EDUCATION PHOENIX AZUS,210.55,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[credit] PAYROLL DEP AUSTIN TX,1967.28,credit,Income,Income,PAYROLL DEP,False
[debit] AMERICAN ELECTRIC DES:BILLPAY ID:JLZRZFMH4Z INDN:CARDHOLDER,301.97,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] ONE MEDICAL #3099 CHICAGO IL,312.43,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] POS DEBIT FIVE GUYS WK9842,23.74,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] BIGGBY COFFEE*0DF7FSKTJ,4.39,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] POS DEBIT IKEA XBD6XB,348.2,debit,Shopping,Shopping,IKEA,False
[debit] CHEGG ORDER DES:BILLPAY ID:8DCYDRMH6L INDN:CARDHOLDER,1417.11,debit,Education,Bills & Housing,CHEGG ORDER,False
[debit] SQ *STARBUCKS SEATTLE WA,13.64,debit,Coffee,Food & Drink,STARBUCKS,False
[debit] SQ *UBER EATS BROOKLYN NY,80.39,debit,Dining,Food & Drink,UBER EATS,False
[debit] PAYPAL *SHAKESHACK,85.87,debit,Dining,Food & Drink,SHAKE SHACK,False
[debit] SQ *DUNKIN DENVER CO,20.66,debit,Coffee,Food & Drink,DUNKIN,False
[debit] PAYPAL *PLAYSTATIONNETWORK,134.75,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] SQ *SHELL OIL INDIANAPOL IN,58.19,debit,Gas,Transportation,SHELL OIL,False
[debit] POS DEBIT ROBINHOOD FUNDING 7DF09Y,765.0,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[credit] STATE OF IN PAYROLL*K36BE96K,1394.71,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] AMAZON WEB SERVICES DES:DEPOSIT ID:5GC8Q2CVLC INDN:CARDHOLDER,11.3,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] LABCORP #6518 SEATTLE WA,19.25,debit,Healthcare,Health & Wellness,LABCORP,False
[debit] POS DEBIT BIGGBY COFFEE 8522WY,12.28,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] SOUTHWEST AIRLINE #5775 NASHVILLE TN,322.1,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] PURCHASE SOUTHWEST AIRLINE INDIANAPOLIS INUS,927.92,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] SOUTHWEST AIRLINE #2311 NASHVILLE TN,546.61,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] SQ *UBER TRIP INDIANAPOL IN,23.72,debit,Rideshare,Transportation,UBER TRIP,False
[debit] SQ *TACO CASA COLUMBUS OH,83.9,debit,Dining,Food & Drink,SQ *TACO CASA,False
[debit] CHEGG ORDER DES:DEPOSIT ID:NH6CJF6L59 INDN:CARDHOLDER,70.08,debit,Education,Bills & Housing,CHEGG ORDER,False
[debit] DELTA AIR LINES*7NKX83C,1218.42,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] PURCHASE SHELL OIL DENVER COUS,83.95,debit,Gas,Transportation,SHELL OIL,False
[debit] POS DEBIT PEARSON EDUCATION TYHZQK,1499.53,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] T-MOBILE DES:ACH PMT ID:B5EMJAMH49 INDN:CARDHOLDER,303.25,debit,Utilities,Bills & Housing,T-MOBILE,False
[debit] COMCAST XFINITY DES:BILLPAY ID:55Y4RU5T7Z INDN:CARDHOLDER,220.42,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] POS DEBIT ASPEN DENTAL GDTR0K,426.09,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[debit] ROBINHOOD FUNDING*VLFRC1D,94.89,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[debit] PAYPAL *CTAVENTRA,44.5,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] NOTION LABS DES:PAYMENT ID:YS4MX3VZ47 INDN:CARDHOLDER,10.86,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] PEARSON EDUCATION DES:BILLPAY ID:BSJH9UEY8A INDN:CARDHOLDER,210.58,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] COMCAST XFINITY DES:PAYMENT ID:JMEJWD6AU5 INDN:CARDHOLDER,250.13,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] COMCAST XFINITY DENVER CO,130.08,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] SQ *TACO CASA #5634 BROOKLYN NY,53.7,debit,Dining,Food & Drink,SQ *TACO CASA,False
[debit] SQ *SUNOCO NASHVILLE TN,70.13,debit,Gas,Transportation,SUNOCO,False
[debit] POS DEBIT FIVE GUYS N13HKZ,43.46,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] PEARSON EDUCATION*E7B28K,700.63,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] NOTION LABS DES:PAYMENT ID:5L5LM44CW7 INDN:CARDHOLDER,41.53,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] PAYPAL *REI.COM,371.86,debit,Shopping,Shopping,REI.COM,False
[debit] AVALON COMMUNITIES DES:DEPOSIT ID:70V73W075U INDN:CARDHOLDER,855.28,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] PAPER STATEMENT FEE KU14,4.59,debit,Fees,Transfers & Fees,PAPER STATEMENT FEE,False
[debit] POS DEBIT HEB ONLINE XX94LJ,133.8,debit,Groceries,Food & Drink,HEB ONLINE,False
[debit] FIVE GUYS #248 DENVER CO,62.71,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] DELTA AIR LINES #511 COLUMBUS OH,560.57,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] PURCHASE LABCORP DENVER COUS,563.85,debit,Healthcare,Health & Wellness,LABCORP,False
[debit] PEARSON EDUCATION DES:DIRECT DEP ID:SRR2HVJ2TN INDN:CARDHOLDER,73.36,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] DUNKIN #9915 SAN FRANCISCO CA,7.77,debit,Coffee,Food & Drink,DUNKIN,False
[credit] POS DEBIT PAYROLL DEP 4144KT,3972.57,credit,Income,Income,PAYROLL DEP,False
[debit] PURCHASE SOFI MONEY XFER ATLANTA GAUS,795.66,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] DUNKIN INDIANAPOLIS IN,9.8,debit,Coffee,Food & Drink,DUNKIN,False
[credit] PAYROLL DEP*YPDMU46C5,2256.64,credit,Income,Income,PAYROLL DEP,False
[debit] PAPER STATEMENT FEE,37.93,debit,Fees,Transfers & Fees,PAPER STATEMENT FEE,False
[debit] UBER TRIP*DZ4VRJ,4.38,debit,Rideshare,Transportation,UBER TRIP,False
[debit] POS DEBIT AMAZON WEB SERVICES DTM6WV,46.85,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] EVENTBRITE SAN FRANCISCO CA,106.12,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] PURCHASE AMERICAN ELECTRIC NASHVILLE TNUS,252.66,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] SOFI MONEY XFER #614 COLUMBUS OH,188.09,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] WEGMANS ATLANTA GA,176.23,debit,Groceries,Food & Drink,WEGMANS,False
[debit] POS DEBIT PEARSON EDUCATION T4H3M9,483.62,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] FOREIGN TRANS FEE 8UJV,21.9,debit,Fees,Transfers & Fees,FOREIGN TRANS FEE,False
[debit] SQ *WEGMANS COLUMBUS OH,196.91,debit,Groceries,Food & Drink,WEGMANS,False
[debit] LOWES #9998 ATLANTA GA,69.97,debit,Shopping,Shopping,LOWES,False
[debit] PURCHASE AVALON COMMUNITIES COLUMBUS OHUS,800.91,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] SOUTHWEST AIRLINE #6140 BROOKLYN NY,699.26,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] WEGMANS BROOKLYN NY,100.82,debit,Groceries,Food & Drink,WEGMANS,False
[credit] PURCHASE LABCORP WEST LAFAYETTE INUS,288.77,credit,Healthcare,Health & Wellness,LABCORP,False
[debit] REI.COM*R5WNQ4SKL,102.3,debit,Shopping,Shopping,REI.COM,False
[debit] NOTION LABS*ZVMPYXRUG,45.05,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] LINCOLN PROP CO*WMWUBC,2243.39,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] POS DEBIT CLASSPASS ARQFZ9,34.93,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] CRUNCH FITNESS WEST LAFAYETTE IN,125.51,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] SQ *PLAYSTATION NETWORK BROOKLYN NY,15.8,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] AMAZON WEB SERVICES DES:BILLPAY ID:K01MZ7K2Y9 INDN:CARDHOLDER,29.96,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] PURCHASE NOTION LABS DENVER COUS,38.06,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] SOUTHWEST AIRLINE #6639 AUSTIN TX,933.07,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] NETFLIX.COM DES:BILLPAY ID:6227GAC7N5 INDN:CARDHOLDER,51.83,debit,Subscriptions,Entertainment,NETFLIX.COM,False
[debit] AMAZON WEB SERVICES*DJX94H,48.43,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] PURCHASE LINCOLN PROP CO NASHVILLE TNUS,1843.4,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] PAYPAL *ASPENDENTAL,104.25,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[debit] PURCHASE CRUNCH FITNESS SAN FRANCISCO CAUS,135.95,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] DUNKIN*T7SHRP,4.92,debit,Coffee,Food & Drink,DUNKIN,False
[debit] SQ *UBER TRIP SEATTLE WA,33.68,debit,Rideshare,Transportation,UBER TRIP,False
[debit] PEARSON EDUCATION DES:BILLPAY ID:1A2K7NENWN INDN:CARDHOLDER,912.2,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] SQ *REI.COM NASHVILLE TN,78.49,debit,Shopping,Shopping,REI.COM,False
[debit] SUNOCO #6911 DENVER CO,76.53,debit,Gas,Transportation,SUNOCO,False
[debit] SHELL OIL COLUMBUS OH,32.01,debit,Gas,Transportation,SHELL OIL,False
[credit] PAYROLL DEP DES:DEPOSIT ID:GRWURLBLVQ INDN:CARDHOLDER,713.28,credit,Income,Income,PAYROLL DEP,False
[debit] PURCHASE PLAYSTATION NETWORK INDIANAPOLIS INUS,83.34,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] UBER TRIP*K8XJWZTVDV,49.02,debit,Rideshare,Transportation,UBER TRIP,False
[debit] FOREIGN TRANS FEE L99F,2.36,debit,Fees,Transfers & Fees,FOREIGN TRANS FEE,False
[debit] T-MOBILE CHICAGO IL,152.33,debit,Utilities,Bills & Housing,T-MOBILE,False
[debit] AIRBNB*J7Z2T2,901.73,debit,Travel,Transportation,AIRBNB,False
[debit] PURCHASE BIGGBY COFFEE NASHVILLE TNUS,5.5,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] ASPEN DENTAL*J6VYSUJH,414.89,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[credit] PAYROLL DEP DES:BILLPAY ID:4EH5UDE7ZS INDN:CARDHOLDER,3347.04,credit,Income,Income,PAYROLL DEP,False
[debit] DELTA AIR LINES*TMZN3GT,118.69,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] BIGGBY COFFEE NASHVILLE TN,18.05,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[credit] STATE OF IN PAYROLL DES:DIRECT DEP ID:P7VUV3JJ5U INDN:CARDHOLDER,3988.55,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] CTA VENTRA*L7M4EXL6,61.58,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] SQ *TACO CASA #9413 BROOKLYN NY,86.95,debit,Dining,Food & Drink,SQ *TACO CASA,False
[debit] LOWES #8686 INDIANAPOLIS IN,460.33,debit,Shopping,Shopping,LOWES,False
[debit] POS DEBIT DELTA AIR LINES FL6ZZX,271.84,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] UBER TRIP*HRJSMJ,43.9,debit,Rideshare,Transportation,UBER TRIP,False
[debit] COMCAST XFINITY*TNQLTY,137.08,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] PURCHASE PEARSON EDUCATION DENVER COUS,619.28,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] UBER TRIP #4280 WEST LAFAYETTE IN,31.32,debit,Rideshare,Transportation,UBER TRIP,False
[debit] EVENTBRITE*T2ZTE5,130.53,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] IKEA #8829 NASHVILLE TN,182.19,debit,Shopping,Shopping,IKEA,False
[debit] SQ *BIGGBY COFFEE PHOENIX AZ,12.02,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] PEARSON EDUCATION DES:DIRECT DEP ID:CEKA4RFTUD INDN:CARDHOLDER,1212.19,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] SHELL OIL DENVER CO,70.91,debit,Gas,Transportation,SHELL OIL,False
[debit] POS DEBIT SOUTHWEST AIRLINE FSKEZC,614.69,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] POS DEBIT CTA VENTRA LUU0AM,12.6,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] POS DEBIT SOUTHWEST AIRLINE RGPTV8,805.98,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] ROBINHOOD FUNDING #6942 NASHVILLE TN,299.69,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[debit] HEB ONLINE #5999 INDIANAPOLIS IN,51.71,debit,Groceries,Food & Drink,HEB ONLINE,False
[debit] AMAZON WEB SERVICES DES:DEPOSIT ID:FREGE04533 INDN:CARDHOLDER,43.53,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
